address,city,city_slug,country,currency,delivers,delivery_price,delivery_price_int,estimate_max,estimate_min,franchise,id,item_currency,item_description,item_has_options,item_id,item_name,item_price,item_tags,item_vat_percentage,location_lat,location_lon,name,online,price_range,product_line,rating_count,rating_score,restaurant_id,restaurant_name,restaurant_slug,short_description,slug,tags
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,False,5ed0f2ee3e05bc6e5fb5d007,Latte Macchiato,20000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,True,63f49ab3cec4aeff349e464d,My Tea,18000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,False,64ef404d54deadb9ea2277f2,Kafe,10000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,"Salcë rozë, djathë, sallam milano, rucola, domate",False,6547c3096d4380669988a8cf,Sanduiç Milanez,21000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,False,6812d5c76960d300bc37e56d,Red Bull,28000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,False,69fd0d4e3d327a74977b2d94,Briosh Red Velvet,11000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,False,6a61389fb8a316bdcf634608,Ginseng,15000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,False,6d82efa37326a50f1be4b340,Briosh me Integral,11000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,False,6fec9b12c41f4dbeb9281fed,Briosh me Pistak,15000,"{""id"": ""popular"", ""label"": ""Populyar"", ""decoration"": ""star"", ""color"": ""primary"", ""style"": {""background_color"": ""#009de0"", ""text_color"": ""#ffffff""}}",20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
fetah bllaca,Durrës,durres,ALB,ALL,True,0 ALL,0,25,15,,67d81c0c0fbd3957432c3042,ALL,,False,7887e56feb0399bb1b5a5e26,Kakao e Vogël,10000,,20,41.31454821,19.44789034,Flair,True,1,restaurant,318,9.6,67d81c0c0fbd3957432c3042,Flair,flair12,Experience the flavor!,flair12,"səhər yeməyi, sendviç"
