restaurant_id,restaurant_name,restaurant_slug,city,item_id,item_name,item_description,item_price,item_currency,item_tags,item_has_options,item_vat_percentage
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,fbf451b5b46198fd81766162,Macchiatone,,12000,ALL,,False,20
67d81c0c0fbd3957432c3042,Flair,flair12,Durrës,ff7f19028885352b5b0ded4f,Briosh me Kajsi,,11000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,0009fa85c4d37eb57ac9768f,Uje Natyral,,9000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,05b7bdce5ac9842c14326139,Tavë Kosi,,50000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,062c34ac3ce058d9d0b28987,Birra Korça,,23000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,13fb5954f0622d5f30c815ff,Qofte Shtëpie,,16000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,162ab2fa34d4292480bec461,Presh,,25000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,168ea58ba00f427d82e173fa,Patate Furre,,20000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,17bb7077408fa87b5e9faf60,Djathë i Bardhë,,25000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,19e0adeb9949ca3f61622498,Fileto Pule me Pilaf,,45000,ALL,"{""id"": ""popular"", ""label"": ""Populyar"", ""decoration"": ""star"", ""color"": ""primary"", ""style"": {""background_color"": ""#009de0"", ""text_color"": ""#ffffff""}}",False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,1bcf25146078955ccadf75c2,Turli,,30000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,2110bdf20abeaddf5a9a59c7,Pastiçe,,30000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,21e8f8e36137b83a507a2c71,Turshi,,20000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,261eaa5c51af18ef12f31e29,Ujë me Gaz,,9000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,2c86a99d35ac9759f2035c50,Coca cola,,17000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,2ff9d78a6e2a72867379ac79,Fileto Pule & Pilaf & Sallatë Mix,,45000,ALL,"{""id"": ""popular"", ""label"": ""Populyar"", ""decoration"": ""star"", ""color"": ""primary"", ""style"": {""background_color"": ""#009de0"", ""text_color"": ""#ffffff""}}",False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,34d97a10fd60ddc42b805e5b,Ivi,,17000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,3688c40bea715897418b8ec5,Zarzavate me Mish,,50000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,40ca0e4ee0682320f30ac266,Supë me Perime & Pilaf & Fileto Pule,,50000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,42d4a2491ec59fabec2f38c7,Birra Peja,,20000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,4401128b2b6251189a38e9c7,Zarzavate Mix,,30000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,4acb0cff1649e5a32254ac5c,Gjellë me Patate,,25000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,4c1b130f95a26d270fa10847,Kima me Vezë,,36000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,4f13dc5e7922cf83a8a434f9,Lemon Soda,,17000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,54284123177a3c920f569156,Turli me Mish,,50000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,5af4858fe2cdb16321b1f51e,Pilaf,,15000,ALL,"{""id"": ""popular"", ""label"": ""Populyar"", ""decoration"": ""star"", ""color"": ""primary"", ""style"": {""background_color"": ""#009de0"", ""text_color"": ""#ffffff""}}",False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,5b356e4a919dde9508d62a23,Fileto Pule,,35000,ALL,,False,20
